Name,Type,Description,PropertyPlacement,Nullable,Added,Nl,System
Purpose,Edm.String,Purpose of the observation,Parameter,false,2024-03-15T12:00:00Z,Meetdoel,AquaDesk
SizeClassWidthInMm,Edm.String,Size classification in millimeters for width,Parameter,false,2024-03-15T12:00:00Z,Breedteklasse in millimeters,AquaDesk
Habitat,Edm.String,Habitat,Parameter,false,2024-03-15T12:00:00Z,Habitat,Aquo
ProjectMethod,Edm.String,Project specific method used,Parameter,false,2024-03-15T12:00:00Z,Project-specifieke methode,AquaDesk
Statistic,Edm.String,Statistic,Parameter,false,2024-03-15T12:00:00Z,Statistiek,Aquo
Condition,Edm.String,Condition,Parameter,false,2024-03-15T12:00:00Z,Conditie,Aquo
RecordingMethod,Edm.String,Recording method,Parameter,false,2024-03-15T12:00:00Z,Opnamemethode,AquaDesk
Compartment,Edm.String,Compartment,Parameter,false,2024-03-15T12:00:00Z,Compartiment,Aquo
AnalysisPackage,Edm.String,Analysis package,Parameter,false,2024-03-15T12:00:00Z,Analyse pakket,AquaDesk
Gender,Edm.String,Gender,Parameter,false,2024-03-15T12:00:00Z,Geslacht,Aquo
